TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1918.5662,-373150.49,-373436.59,-378377.72,-379510.02,-375399.78,-373230.26,-367717.74
1918.5702,-375443.93,-380349.3,-369420.91,-376771.78,-369862.41,-370669.36,-356278.13
1918.5742,-372319.6,-372858.62,-371203.9,-376296.18,-368462.13,-370526.55,-369644.02
1918.5781,-368938.92,-363273.76,-380530.69,-378756.04,-373061.32,-372931.91,-385504.72
1918.5821,-369745.97,-364529.13,-384603.12,-380747.13,-377308.22,-374670.07,-382460.5
1918.5861,-372827.91,-373421.62,-378524.87,-379576.16,-375496.62,-373601.15,-367990.39
1918.5901,-375107.67,-380389.5,-369498.82,-376819.23,-369922.44,-371061.42,-356403.54
1918.5941,-372089.1,-372974.34,-371207.9,-376327.89,-368499.61,-370849.61,-369650.98
1918.5981,-368840.88,-363339.28,-380493.02,-378760.72,-373062.37,-373071.29,-385533.81
1918.6021,-369837.76,-364542.1,-384588.0,-380775.74,-377339.46,-374621.29,-382540.8
1918.6061,-373090.65,-373393.15,-378575.42,-379625.17,-375565.76,-373386.81,-368115.42
1918.6101,-375461.19,-380445.19,-369519.85,-376866.0,-369988.87,-370745.51,-356384.22
1918.6141,-372335.86,-373034.86,-371134.52,-376310.35,-368472.57,-370489.69,-369539.69
1918.6181,-368917.22,-363354.82,-380453.49,-378725.53,-373014.83,-372821.09,-385458.37
1918.6221,-369666.72,-364452.93,-384614.13,-380731.01,-377305.17,-374547.57,-382549.67
1918.6261,-372699.97,-373269.94,-378653.19,-379601.48,-375597.52,-373546.5,-368204.21
1918.6301,-375006.91,-380406.9,-369556.18,-376835.77,-370019.81,-371045.54,-356316.85
1918.6341,-371996.59,-373141.09,-371089.98,-376277.59,-368477.82,-370827.15,-369261.69
1918.6381,-368688.25,-363379.33,-380360.74,-378688.81,-372960.8,-373072.57,-385336.25
1918.642,-369609.35,-364419.84,-384597.4,-380727.77,-377286.1,-374682.28,-382563.64
1918.646,-372841.45,-373185.35,-378726.0,-379613.21,-375610.44,-373502.87,-368241.5
1918.65,-375345.8,-380371.66,-369572.59,-376841.4,-370021.91,-370828.63,-356209.03
1918.654,-372447.25,-373192.78,-370986.74,-376253.94,-368424.94,-370479.01,-368980.79
1918.658,-369098.04,-363407.18,-380265.85,-378663.01,-372904.2,-372739.79,-385178.56
1918.662,-369868.66,-364353.18,-384587.81,-380719.04,-377260.35,-374458.21,-382583.71
1918.666,-372862.34,-373067.38,-378780.41,-379624.17,-375615.83,-373454.19,-368389.46
1918.67,-374906.92,-380350.97,-369601.68,-376757.48,-370047.76,-370969.91,-356221.1
1918.674,-371757.74,-373264.02,-370947.45,-376105.21,-368421.98,-370761.01,-368881.65
1918.678,-368352.03,-363422.2,-380210.78,-378510.14,-372867.53,-373062.94,-385185.1
1918.682,-369194.36,-364295.96,-384589.57,-380598.92,-377258.44,-374743.7,-382714.41
1918.686,-372392.79,-372947.69,-378832.48,-379524.28,-375650.78,-373594.9,-368548.72
1918.69,-374975.73,-380251.5,-369617.12,-376750.85,-370046.28,-370888.56,-356302.21
1918.694,-372157.9,-373214.96,-370869.78,-376137.64,-368397.61,-370486.59,-368887.23
1918.698,-368846.7,-363352.15,-380133.29,-378549.57,-372850.84,-372687.67,-385255.38
1918.702,-369666.48,-364200.78,-384583.23,-380655.24,-377277.85,-374375.34,-382834.62
1918.7059,-372741.36,-372861.48,-378924.75,-379630.09,-375733.85,-373387.19,-368772.69
1918.7099,-375149.25,-380319.5,-369727.51,-376874.01,-370146.6,-370898.29,-356395.14
1918.7139,-372124.57,-373372.55,-370932.43,-376227.04,-368428.42,-370695.49,-368878.31
1918.7179,-368565.89,-363451.1,-380171.92,-378604.36,-372823.33,-373062.94,-385326.86
1918.7219,-369281.29,-364262.0,-384686.71,-380727.77,-377298.11,-374872.78,-382973.34
1918.7259,-372406.72,-372866.96,-379035.47,-379706.09,-375781.72,-373836.23,-368923.8
1918.7299,-375069.52,-380383.97,-369730.61,-376940.63,-370179.41,-371147.49,-356363.77
1918.7339,-372355.22,-373512.88,-370800.06,-376237.96,-368399.23,-370632.45,-368583.82
1918.7379,-369054.6,-363536.02,-380035.92,-378585.15,-372767.16,-372731.11,-385079.72
1918.7419,-369880.91,-364189.29,-384599.83,-380691.76,-377215.1,-374357.13,-382886.46
1918.7459,-372951.7,-372745.37,-379065.42,-379680.63,-375749.82,-373330.97,-368894.14
1918.7499,-375383.61,-380274.63,-369770.38,-376881.6,-370134.45,-370764.73,-356230.16
1918.7539,-372384.12,-373526.38,-370776.46,-376178.98,-368342.73,-370521.97,-368336.34
1918.7579,-368717.14,-363514.66,-380007.41,-378530.26,-372695.82,-372923.32,-385006.47
1918.7619,-369269.27,-364119.76,-384656.81,-380672.36,-377214.14,-374829.86,-383008.14
1918.7659,-372292.52,-372626.97,-379145.05,-379695.27,-375783.25,-373907.71,-369152.59
1918.7698,-374977.06,-380309.39,-369790.22,-376935.43,-370190.04,-371269.94,-356343.17
1918.7738,-372386.12,-373728.94,-370680.47,-376195.14,-368335.62,-370723.96,-368094.49
1918.7778,-369067.19,-363650.32,-379862.31,-378519.48,-372635.41,-372768.54,-384804.29
1918.7818,-369856.02,-364128.59,-384588.86,-380666.97,-377179.24,-374389.03,-382956.65
1918.7858,-372831.34,-372595.64,-379163.26,-379660.37,-375816.68,-373346.47,-369192.74
1918.7898,-375290.01,-380321.17,-369778.06,-376831.67,-370210.74,-370728.39,-356362.91
1918.7938,-372490.4,-373871.51,-370557.21,-376073.02,-368295.24,-370354.32,-368011.95
1918.7978,-368806.17,-363770.34,-379772.99,-378393.46,-372595.74,-372711.46,-384909.25
1918.8018,-369246.57,-364145.42,-384618.85,-380568.26,-377191.87,-374666.54,-383290.62
1918.8058,-372178.41,-372573.56,-379280.47,-379650.11,-375868.22,-373853.78,-369532.49
1918.8098,-374794.86,-380387.59,-369880.34,-376900.81,-370271.97,-371322.49,-356483.07
1918.8138,-372144.03,-374020.81,-370545.86,-376094.77,-368298.86,-370824.33,-367801.81
1918.8178,-368683.1,-363773.2,-379703.57,-378377.91,-372519.39,-372900.24,-384762.43
1918.8218,-369417.66,-364029.55,-384574.98,-380579.23,-377143.48,-374554.63,-383285.57
1918.8258,-372614.38,-372428.94,-379301.5,-379703.81,-375889.44,-373488.04,-369607.06
1918.8298,-375382.71,-380310.44,-369861.17,-376944.97,-370298.0,-370773.17,-356477.02
1918.8337,-372751.57,-374080.37,-370459.65,-376133.3,-368313.4,-370270.87,-367711.35
1918.8377,-369108.2,-363857.88,-379660.6,-378415.63,-372533.41,-372521.21,-384780.88
1918.8417,-369539.35,-364037.27,-384626.63,-380606.08,-377164.93,-374450.39,-383433.58
1918.8457,-372423.07,-372349.74,-379394.43,-379718.64,-375914.24,-373670.67,-369810.1
1918.8497,-375011.06,-380315.68,-369948.77,-376965.0,-370345.49,-371198.36,-356493.8
1918.8537,-372300.86,-374129.86,-370451.3,-376121.71,-368303.63,-370778.18,-367522.43
1918.8577,-368656.63,-363861.51,-379609.44,-378396.75,-372494.17,-373005.77,-384667.49
1918.8617,-369233.7,-363985.44,-384646.03,-380621.91,-377168.46,-374790.86,-383425.85
1918.8657,-372411.1,-372292.18,-379497.38,-379787.11,-375992.77,-373780.63,-369891.64
1918.8697,-375360.01,-380283.78,-369973.04,-377027.6,-370383.16,-370966.14,-356557.94
1918.8737,-372936.96,-374248.45,-370380.73,-376160.52,-368305.58,-370281.84,-367430.4
1918.8777,-369318.39,-363908.38,-379519.84,-378379.72,-372444.48,-372377.06,-384604.98
1918.8817,-369742.68,-363934.66,-384630.77,-380615.23,-377159.21,-374285.46,-383516.31
1918.8857,-372634.26,-372186.09,-379578.87,-379800.41,-376037.36,-373536.11,-370059.53
1918.8897,-375275.99,-380273.1,-370075.94,-377047.77,-370453.83,-371045.82,-356592.89
1918.8937,-372597.55,-374324.99,-370358.56,-376139.4,-368304.87,-370597.93,-367281.15
1918.8977,-368837.21,-363981.1,-379474.73,-378375.81,-372424.84,-372863.0,-384591.72
1918.9017,-369249.67,-363955.45,-384692.29,-380629.44,-377180.38,-374795.67,-383600.23
1918.9057,-372267.58,-372163.67,-379672.86,-379836.7,-376089.0,-373932.84,-370196.91
1918.9097,-375170.23,-380299.33,-370091.1,-377076.48,-370495.75,-371192.12,-356588.07
1918.9137,-372823.24,-374468.66,-370279.4,-376147.41,-368313.93,-370445.77,-367072.1
1918.9177,-369285.29,-364073.84,-379350.66,-378354.17,-372383.02,-372450.21,-384424.64
1918.9217,-369777.58,-363912.91,-384600.88,-380610.03,-377122.92,-374269.34,-383609.48
1918.9257,-372696.97,-372077.7,-379695.27,-379834.36,-376092.48,-373488.38,-370247.98
1918.9297,-375401.06,-380294.56,-370150.8,-377088.45,-370524.4,-370970.44,-356560.13
1918.9337,-372767.11,-374550.2,-370291.18,-376140.11,-368305.97,-370503.09,-366938.11
1918.9377,-368908.78,-364130.97,-379390.14,-378346.68,-372365.71,-372797.53,-384403.8
1918.9417,-369167.23,-363913.48,-384704.83,-380602.93,-377147.19,-374802.25,-383684.97
1918.9457,-372056.86,-371960.54,-379821.63,-379826.59,-376124.33,-374025.87,-370422.26
1918.9497,-374950.07,-380207.97,-370196.48,-377088.97,-370557.92,-371363.78,-356607.91
1918.9537,-372664.97,-374576.99,-370206.07,-376127.34,-368308.45,-370617.67,-366763.83
1918.9577,-369126.08,-364108.99,-379240.18,-378314.92,-372323.7,-372584.34,-384272.1
1918.9616,-369662.28,-363836.9,-384632.54,-380614.52,-377141.0,-374366.66,-383680.2
1918.9656,-372689.15,-371905.8,-379877.09,-379889.1,-376191.66,-373524.47,-370504.33
1918.9696,-375530.29,-380237.72,-370264.91,-377145.86,-370620.91,-370912.07,-356629.84
1918.9736,-373001.29,-374674.79,-370187.95,-376140.21,-368286.42,-370327.09,-366687.87
1918.9776,-369076.49,-364210.41,-379246.47,-378313.68,-372296.85,-372610.42,-384284.73
1918.9816,-369250.06,-363854.55,-384700.2,-380607.27,-377136.56,-374691.05,-383819.82
1918.9856,-372089.67,-371880.43,-379992.96,-379905.79,-376245.73,-374055.86,-370689.44
1918.9896,-374960.42,-380268.0,-370344.87,-377145.14,-370671.03,-371453.33,-356663.03
