TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1587.4999,-373777.34,-377325.2,-373293.78,-377309.22,-372803.26,-371085.02,-357576.17
1587.5038,-373604.53,-378137.2,-368387.84,-375051.97,-368636.46,-369283.62,-356172.6
1587.5078,-369379.47,-366679.62,-374369.95,-376182.65,-369271.99,-370363.37,-376434.42
1587.5118,-367743.11,-360975.59,-382233.38,-378981.02,-373932.5,-372711.27,-385643.15
1587.5158,-369786.88,-366459.22,-381857.15,-379649.64,-376033.11,-373323.15,-376071.31
1587.5198,-373287.58,-377200.98,-373363.63,-377300.74,-372843.36,-371402.74,-357746.12
1587.5238,-373254.2,-378197.57,-368346.97,-375048.01,-368666.5,-369588.47,-356061.6
1587.5278,-369193.65,-366796.73,-374196.72,-376145.41,-369233.41,-370533.18,-376203.53
1587.5318,-367743.11,-360981.08,-382118.03,-378976.91,-373899.5,-372749.9,-385687.16
1587.5358,-370000.69,-366416.02,-381853.58,-379686.97,-376043.89,-373216.91,-376219.13
1587.5398,-373650.45,-377152.92,-373429.44,-377349.85,-372879.41,-371167.27,-357886.79
1587.5438,-373679.54,-378278.25,-368331.33,-375069.85,-368670.36,-369270.65,-355945.2
1587.5478,-369537.45,-366906.73,-374144.03,-376146.93,-369206.57,-370249.51,-376078.84
1587.5518,-367869.18,-360998.15,-382123.56,-378976.91,-373874.28,-372604.56,-385730.74
1587.5558,-369893.93,-366365.05,-381955.05,-379727.84,-376068.92,-373282.67,-376391.84
1587.5598,-373359.68,-377092.79,-373566.53,-377393.82,-372936.72,-371411.46,-358064.84
1587.5638,-373369.07,-378363.18,-368378.4,-375090.98,-368707.7,-369604.01,-355877.73
1587.5677,-369251.34,-367002.96,-374110.08,-376124.05,-369179.2,-370548.01,-375949.95
1587.5717,-367692.09,-361010.5,-382120.03,-378954.84,-373836.04,-372809.84,-385742.19
1587.5757,-369879.0,-366299.1,-381997.25,-379715.92,-376063.96,-373342.7,-376491.78
1587.5797,-373523.33,-377022.26,-373624.18,-377404.64,-372969.05,-371314.05,-358194.73
1587.5837,-373695.04,-378412.72,-368350.74,-375089.17,-368718.14,-369347.23,-355781.84
1587.5877,-369611.59,-367072.1,-374028.2,-376112.32,-369155.98,-370222.09,-375860.5
1587.5917,-367941.95,-360992.52,-382054.85,-378934.57,-373793.27,-372506.9,-385753.68
1587.5957,-369940.94,-366185.9,-382037.64,-379704.04,-376045.03,-373166.13,-376599.31
1587.5997,-373404.45,-376916.02,-373704.24,-377410.98,-372989.46,-371324.73,-358301.78
1587.6037,-373459.1,-378416.96,-368358.56,-375078.39,-368724.96,-369504.35,-355702.73
1587.6077,-369273.99,-367076.3,-373979.76,-376063.34,-369120.93,-370458.89,-375751.4
1587.6117,-367592.04,-360955.81,-382019.42,-378896.47,-373758.65,-372783.8,-385765.79
1587.6157,-369682.74,-366120.57,-382066.82,-379713.68,-376060.86,-373418.04,-376724.24
1587.6197,-373297.35,-376854.42,-373780.01,-377441.83,-373040.15,-371462.68,-358437.06
1587.6237,-373559.85,-378492.64,-368347.5,-375094.98,-368750.85,-369473.55,-355580.8
1587.6277,-369527.24,-367201.23,-373895.02,-376071.59,-369107.29,-370285.6,-375582.79
1587.6316,-367874.24,-360978.12,-381958.58,-378909.35,-373730.32,-372531.51,-385768.36
1587.6356,-369956.39,-366077.42,-382108.26,-379768.04,-376090.38,-373200.6,-376852.6
1587.6396,-373481.32,-376789.14,-373847.86,-377502.53,-373099.75,-371325.68,-358576.53
1587.6436,-373696.18,-378589.44,-368324.9,-375133.51,-368785.0,-369430.4,-355446.14
1587.6476,-369534.11,-367311.47,-373802.56,-376032.54,-369053.46,-370295.38,-375334.21
